Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah
10770.0,115660.0,37500.0,47340.0,13638.0,33300.0,37060.0,12550.0,61200.0,55900.0,120660.0,52500.0,2360.0,10233.0,118333.0,13340.0,11675.0,81667.0,10100.0,3880.0,70000.0,15667.0,42833.0,44567.0,86650.0,10240.0,12060.0,142500.0,2460.0,21840.0,38060.0,9860.0,36660.0,86100.0,21900.0,4700.0,12700.0,23540.0
10730.0,117340.0,37500.0,48340.0,13638.0,35860.0,36560.0,12640.0,59200.0,57100.0,120660.0,50900.0,2420.0,10233.0,120000.0,13300.0,12175.0,86667.0,11700.0,3980.0,66667.0,15567.0,42600.0,44433.0,85850.0,10340.0,12060.0,145000.0,2380.0,21400.0,38400.0,10160.0,38360.0,86100.0,21800.0,4940.0,12800.0,24500.0
10730.0,102440.0,33500.0,45140.0,13450.0,38060.0,39560.0,12890.0,62600.0,59000.0,121660.0,53000.0,2420.0,10233.0,120000.0,13300.0,12425.0,100000.0,10800.0,3960.0,65000.0,15567.0,42600.0,44433.0,85850.0,10790.0,12260.0,146667.0,2490.0,21600.0,40500.0,10760.0,41660.0,77075.0,22400.0,4940.0,12550.0,25000.0
10770.0,104660.0,42500.0,47900.0,13450.0,33900.0,38060.0,12690.0,52700.0,53900.0,120660.0,45360.0,2420.0,10233.0,120000.0,13490.0,13675.0,93333.0,12200.0,4160.0,76667.0,15667.0,41500.0,43233.0,86650.0,10790.0,11860.0,146667.0,2330.0,21540.0,38460.0,9960.0,39340.0,87767.0,23100.0,5200.0,12575.0,25840.0
10880.0,108900.0,37500.0,50000.0,13450.0,34740.0,39560.0,12760.0,55940.0,55060.0,120660.0,46660.0,2420.0,10900.0,120000.0,13410.0,12175.0,100000.0,10640.0,4220.0,71667.0,15333.0,42167.0,44067.0,87500.0,10350.0,11850.0,146667.0,2490.0,21740.0,37860.0,10140.0,36600.0,88750.0,21740.0,4840.0,13025.0,26540.0
10940.0,114500.0,33500.0,46240.0,13050.0,36200.0,39500.0,12740.0,53900.0,56040.0,120660.0,47860.0,2420.0,11333.0,116667.0,13490.0,10400.0,85000.0,12840.0,3880.0,70000.0,15667.0,42833.0,44567.0,89150.0,10400.0,12100.0,143333.0,2500.0,21610.0,37760.0,10340.0,38540.0,82075.0,22440.0,5000.0,13063.0,25800.0
10940.0,112000.0,33940.0,44200.0,13240.0,34740.0,39140.0,12363.0,53940.0,54700.0,120000.0,47700.0,2380.0,11000.0,121667.0,13340.0,12250.0,101667.0,11860.0,3780.0,70000.0,15900.0,42500.0,44333.0,89150.0,10140.0,12500.0,145000.0,2430.0,22640.0,34260.0,9800.0,38660.0,82767.0,22100.0,5000.0,13063.0,24900.0
11240.0,106340.0,38500.0,47740.0,13613.0,36040.0,39060.0,12840.0,57000.0,55000.0,120660.0,49160.0,2400.0,11100.0,123333.0,13190.0,11750.0,98333.0,11360.0,3910.0,70000.0,15567.0,42067.0,44333.0,84150.0,10840.0,12240.0,155000.0,2320.0,22300.0,39340.0,10240.0,40340.0,82233.0,21760.0,4940.0,13200.0,25500.0
11680.0,104340.0,35000.0,44400.0,13325.0,34340.0,38000.0,12540.0,50900.0,53600.0,120660.0,46660.0,2420.0,11233.0,120000.0,13500.0,13175.0,100000.0,11800.0,4060.0,66667.0,15567.0,42600.0,44333.0,85850.0,10340.0,11860.0,148333.0,2300.0,22300.0,36440.0,10260.0,37540.0,85825.0,23200.0,5340.0,12863.0,26100.0
10940.0,105140.0,37500.0,46400.0,13050.0,36340.0,42340.0,12740.0,52000.0,55500.0,121160.0,49160.0,2400.0,10433.0,117500.0,13140.0,13250.0,85000.0,12560.0,4440.0,60000.0,15567.0,42400.0,44333.0,86650.0,10440.0,11790.0,148333.0,2400.0,22200.0,37040.0,10040.0,36700.0,87075.0,22160.0,5340.0,12638.0,25900.0
