TANGGAL,KOMODITI,SATUAN,HARGA
21/06/2018,Tepung Terigu Segitiga Biru,Kg,10200
22/06/2018,Tepung Terigu Segitiga Biru,Kg,10500
25/06/2018,Tepung Terigu Segitiga Biru,Kg,10100
26/06/2018,Tepung Terigu Segitiga Biru,Kg,10000
28/06/2018,Tepung Terigu Segitiga Biru,Kg,10200
29/06/2018,Tepung Terigu Segitiga Biru,Kg,9500
43196,Kacang Kedelai Eks Impor,Kg,11800
43226,Kacang Kedelai Eks Impor,Kg,11550
43257,Kacang Kedelai Eks Impor,Kg,11675
43287,Kacang Kedelai Eks Impor,Kg,11175
43318,Kacang Kedelai Eks Impor,Kg,11925
21/06/2018,Kacang Kedelai Eks Impor,Kg,12175
22/06/2018,Kacang Kedelai Eks Impor,Kg,12175
25/06/2018,Kacang Kedelai Eks Impor,Kg,11675
26/06/2018,Kacang Kedelai Eks Impor,Kg,11675
28/06/2018,Kacang Kedelai Eks Impor,Kg,12675
29/06/2018,Kacang Kedelai Eks Impor,Kg,12550
43196,Kacang Kedelai Lokal,Kg,11067
43226,Kacang Kedelai Lokal,Kg,10733
43257,Kacang Kedelai Lokal,Kg,10733
43287,Kacang Kedelai Lokal,Kg,10400
43318,Kacang Kedelai Lokal,Kg,10733
21/06/2018,Kacang Kedelai Lokal,Kg,10733
22/06/2018,Kacang Kedelai Lokal,Kg,10733
25/06/2018,Kacang Kedelai Lokal,Kg,10733
26/06/2018,Kacang Kedelai Lokal,Kg,10733
28/06/2018,Kacang Kedelai Lokal,Kg,10733
29/06/2018,Kacang Kedelai Lokal,Kg,10733
43196,Indomie Rasa Kari Ayam,buah,2460
43226,Indomie Rasa Kari Ayam,buah,2460
43257,Indomie Rasa Kari Ayam,buah,2460
43287,Indomie Rasa Kari Ayam,buah,2460
43318,Indomie Rasa Kari Ayam,buah,2460
21/06/2018,Indomie Rasa Kari Ayam,buah,2460
22/06/2018,Indomie Rasa Kari Ayam,buah,2460
25/06/2018,Indomie Rasa Kari Ayam,buah,2460
26/06/2018,Indomie Rasa Kari Ayam,buah,2460
28/06/2018,Indomie Rasa Kari Ayam,buah,2460
29/06/2018,Indomie Rasa Kari Ayam,buah,2460
43196,Cabai Merah Kriting,Kg,32640
43226,Cabai Merah Kriting,Kg,34640
43257,Cabai Merah Kriting,Kg,32640
43287,Cabai Merah Kriting,Kg,32840
43318,Cabai Merah Kriting,Kg,32640
21/06/2018,Cabai Merah Kriting,Kg,33340
22/06/2018,Cabai Merah Kriting,Kg,36340
25/06/2018,Cabai Merah Kriting,Kg,32140
26/06/2018,Cabai Merah Kriting,Kg,32640
