TANGGAL,KOMODITI,SATUAN,HARGA,,,,,
10/1/2018,Minyak Goreng Curah,Liter,12300,,,,,
10/1/2018,Daging Sapi Lokal Paha Belakang,Kg,118660,,,,,
10/1/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,,,,,
10/1/2018,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,98333,,,,,
10/1/2018,Daging Sapi Lokal Daging Tetelan,Kg,65833,,,,,
10/1/2018,Daging Sapi Impor Beku,Kg,120000,,,,,
10/1/2018,Daging Sapi Lokal Has Dalam,Kg,143333,,,,,
10/1/2018,Ayam Boiler,ekor,36260,,,,,
10/1/2018,Ayam Kampung,ekor,84000,,,,,
10/1/2018,Telur Ayam Ras,Kg,26000,,,,,
10/1/2018,Telur Ayam Kampung,butir,2160,,,,,
10/1/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12060,,,,,
10/1/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10300,,,,,
10/1/2018,Susu Bubuk Kaleng Merk Bendera,buah,44167,,,,,
10/1/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400,,,,,
10/1/2018,Jagung Pipilan Kecil,Kg,15167,,,,,
10/1/2018,Garam Beryodium Bata,250 gr,3720,,,,,
10/1/2018,Garam Beryodium Halus,Kg,12660,,,,,
10/1/2018,Tepung Terigu Segitiga Biru,Kg,9900,,,,,
10/1/2018,Kacang Kedelai Eks impor,Kg,12375,,,,,
10/1/2018,Kacang Kedelai Lokal,Kg,3667,,,,,
10/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2360,,,,,
10/1/2018,Cabe Merah Keriting,Kg,42860,,,,,
10/1/2018,Cabe Merah Besar,Kg,40040,,,,,
10/1/2018,Cabe Rawit Merah,Kg,48660,,,,,
10/1/2018,Cabe Rawit Hijau,Kg,35540,,,,,
10/1/2018,Bawang Merah (Medium),Kg,28040,,,,,
10/1/2018,Bawang Putih Impor (Kating),Kg,27140,,,,,
10/1/2018,Bawang Putih Impor (Honan),Kg,28500,,,,,
10/1/2018,Ikan Teri Asin,Kg,100660,,,,,
10/1/2018,Ikan Kembung,Kg,37660,,,,,
10/1/2018,Kacang Hijau,Kg,23340,,,,,
10/1/2018,Kacang Tanah,Kg,25600,,,,,
10/1/2018,Ketela Pohon,Kg,4800,,,,,
11/1/2018,Beras,Kg,11620,,,,,
11/1/2018,Gula Pasir,Kg,13600,,,,,
11/1/2018,Minyak Goreng Bimoli Botol,Liter,13340,,,,,
11/1/2018,Minyak Goreng Curah,Liter,12363,,,,,
11/1/2018,Daging Sapi Lokal Paha Belakang,Kg,119660,,,,,
11/1/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,,,,,
11/1/2018,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,101667,,,,,
11/1/2018,Daging Sapi Lokal Daging Tetelan,Kg,70000,,,,,
